code,name,time,netProfit ,netProfit Growth,eps,epsGrowth,interestRates,PE,dividendYield,payoutRatio,netAssetValue,currency,rate,year,month
02777,富力地產s,2015-12-01,6605.0,1.38,2.061,1.17,1.4113,5.88,11.64,68.48,14.8589,港元,1.1761,2015,12
02777,富力地產s,2016-12-01,7508.0,13.67,2.3333,13.21,1.1113,8.55,5.57,47.63,15.0971,港元,1.11125,2016,12
02777,富力地產s,2017-12-01,25400.0,238.33,7.8825,237.83,1.3188,2.15,7.79,16.73,22.8935,港元,1.1989,2017,12
02777,富力地產s,2018-12-01,9531.0,-62.48,2.958,-62.47,1.4005,3.41,13.87,47.35,24.116,港元,1.1386,2018,12
02777,富力地產s,2019-12-01,10809.0,13.4,3.3526,13.34,1.4304,2.77,15.38,42.67,24.732,港元,1.1175,2019,12
02778,冠君產業信託s,2015-12-01,3305.0,71.37,0.57,67.65,0.1983,8.0,4.35,34.79,8.3976,港元,1.0,2015,12
02778,冠君產業信託s,2016-12-01,3182.0,-3.73,0.55,-3.51,0.2292,10.2,4.09,41.67,8.7155,港元,1.0,2016,12
02778,冠君產業信託s,2017-12-01,11140.0,250.13,1.92,249.09,0.2424,3.18,3.97,12.63,10.3642,港元,1.0,2017,12
02778,冠君產業信託s,2018-12-01,7812.0,-29.87,1.34,-30.21,0.2614,3.38,5.77,19.51,11.4178,港元,1.0,2018,12
02778,冠君產業信託s,2019-12-01,-570.0,-29.87,-0.1,-30.21,0.2666,-46.9,5.68,-266.6,11.0398,港元,1.0,2019,12
02779,中國新華教育,2015-12-01,176.0,6.13,0.0,-30.21,0.0,-46.9,5.68,-266.6,11.0398,港元,1.17605,2015,12
02779,中國新華教育,2016-12-01,192.0,8.71,0.0,-30.21,0.0,-46.9,5.68,-266.6,11.0398,港元,1.11125,2016,12
02779,中國新華教育,2017-12-01,206.0,7.52,0.1718,-30.21,0.0,0.0,5.68,0.0,11.0398,港元,1.1989,2017,12
02779,中國新華教育,2018-12-01,291.0,41.39,0.1927,12.14,0.0543,0.0,5.68,28.19,1.6878,港元,1.1386,2018,12
02779,中國新華教育,2019-12-01,302.0,3.77,0.1881,-2.38,0.0553,0.0,5.68,29.4,1.6878,港元,1.1175,2019,12
