code,name,price
00341,大家樂集團s,14.72
00342,新海能源,1.14
00343,文化傳信,0.09
00345,維他奶國際集團s,27.55
00346,延長石油國際,0.04
00347,鞍鋼股份s,1.93
00348,中國智能健康,0.027000000000000003
00351,亞洲能源物流,0.26
00352,富陽,0.0
00353,能源國際投資,0.0
00354,中國軟件國際s,4.25
00355,世紀城市國際,0.405
00356,鼎立資本,0.051
00357,美蘭空港,7.92
00358,江西銅業股份s,7.38
00359,海升果汁,0.0
00360,新焦點,0.086
00361,順龍控股,0.039
00362,信陽毛尖,0.39
00363,上海實業控股s,12.7
00364,區塊鏈集團,0.0
00365,芯成科技,1.39
00366,陸氏集團（越南）,1.16
00367,莊士機構國際s,1.17
00369,永泰地產s,0.0
00370,國華,0.14400000000000002
00371,北控水務集團s,2.98
00372,保德國際發展,0.315
00373,聯合集團s,41.0
00374,四洲集團,0.0
00375,YGM 貿易,0.0
00376,雲鋒金融s,2.94
00377,華君國際集團,0.0
00378,五龍動力,0.025
00379,恒嘉融資租賃－新,0.174
00380,冠力國際,0.138
00381,僑雄國際,0.01
00382,中匯集團,4.75
00383,中國醫療網絡s,0.19899999999999998
00384,中國燃氣s,23.8
00385,建聯集團,0.97
00386,中國石油化工股份s,3.83
00387,力豐(集團),0.57
00388,香港交易所s,246.0
00389,通天酒業,0.092
00390,中國中鐵s,4.62
00391,美亞娛樂資訊,0.10099999999999999
00392,北京控股s,26.25
00393,旭日企業,0.86
00395,中國智能集團,0.172
00396,興利（香港）控股,0.094
00397,權威金融集團,0.092
00398,東方表行集團,1.66
00399,領航醫藥生物科技,0.25
00400,科通芯城,0.81
00401,萬嘉集團,0.19
00402,天下圖控股,0.0
00403,星光集團,0.46
00405,越秀房產信託基金s,3.74
00406,有利集團,0.0
00408,葉氏化工集團,2.3
00410,ＳＯＨＯ中國s,3.52
00411,南順（香港）,12.3
00412,中國山東高速金融s,0.37
00413,南華集團控股,0.155
00416,錦州銀行,2.11
00417,謝瑞麟,0.0
00418,方正控股,0.335
00419,華誼騰訊娛樂,0.067
00420,福田實業,1.17
00422,越南製造加工出口,0.0
00423,經濟日報集團,0.0
00425,敏實集團s,17.96
00426,萬華媒體,0.0
00428,中國天弓控股,0.0
00430,東方網庫,0.0
00431,大中華金融,0.19699999999999998
00432,盈大地產,1.32
00433,北方礦業,0.011000000000000001
00434,博雅互動,0.0
00435,陽光房地產基金s,3.83
00436,新宇環保,0.201
00438,彩虹新能源,0.84
00439,光啟科學,0.23800000000000002
00440,大新金融s,23.95
00442,海福德集團,1.0
00444,Sincere Watch HK,0.1
00445,中集天達s,0.15
00449,志高控股,0.0
00450,鴻興印刷集團,1.07
00451,協鑫新能源s,0.10300000000000001
00455,天大藥業,0.146
00456,新城市建設發展,0.09300000000000001
00458,聯亞集團,0.0
00459,美聯工商舖,0.09699999999999999
00460,四環醫藥s,0.76
00462,天然乳品,0.0
00464,中國海外諾信,0.75
00465,富通科技,0.0
00467,聯合能源集團s,1.39
00468,紛美包裝s,2.7
00469,凱普松國際,0.32
00471,中播控股,0.34
00472,新絲路文旅,0.0
00474,昊天發展集團,0.215
00475,中發展控股,0.0
00476,中國動力控股,0.046
00479,華建控股,0.013999999999999999
00480,香港興業國際s,3.2
00482,聖馬丁國際,0.0
00483,包浩斯國際,0.0
00484,雲遊控股,3.7
00485,中國華星,0.018000000000000002
00486,俄鋁s,2.56
00487,實德環球,0.14800000000000002
00488,麗新發展s,8.37
00489,東風集團股份s,4.96
00491,英皇文化產業,0.068
00493,國美零售s,0.96
00494,利豐s,1.11
00495,百利大有限公司,0.0
00496,卡森國際s,1.18
00497,資本策略地產s,0.255
00498,保華集團,0.085
00499,青島控股,0.4
00500,先豐服務集團,0.53
00503,朗生醫藥,0.6
00505,歡悅互娛,0.8
00506,中國食品s,2.63
00508,鼎億集團投資s,0.18600000000000003
00509,世紀陽光,0.161
00510,時富金融服務集團,0.024
00511,電視廣播s,10.92
00512,遠大醫藥s,5.19
00513,恆和集團,0.0
00515,達進東方照明,0.0
00517,中遠海運國際s,2.12
00518,同得仕（集團）,0.55
00519,實力建業,0.18600000000000003
00520,呷哺呷哺餐飲s,6.99
00521,CWT International,0.0
00522,ASM PACIFICs,83.5
00524,長城一帶一路,0.09
00525,廣深鐵路股份s,1.55
00526,中國汽車新零售s,0.35
00527,瑞風新能源,0.305
00528,金達控股,0.0
00529,新龍國際集團,0.0
00530,高銀金融s,1.3
00531,順誠,0.0
00532,WKK INTL (HOLD),0.0
00533,金利來集團,1.81
00535,金地商置s,1.22
00536,貿易通,1.08
00538,味千（中國）s,1.63
00539,冠華國際控股,0.19699999999999998
00540,迅捷環球控股,0.245
00542,富元國際集團,0.255
00543,太平洋網絡,1.29
00544,大同集團,0.018000000000000002
00546,阜豐集團s,2.54
00547,數字王國s,0.046
00548,深圳高速公路股份s,7.96
00550,ＫＫ文化,0.0
00551,裕元集團s,12.42
00552,中國通信服務s,5.73
00553,南京熊貓電子股份,5.63
00554,漢思能源,0.22
00555,御泰中彩控股,0.0
00556,泛亞環保,0.0
00557,天元醫療,0.63
00558,力勁科技,0.0
00559,德泰新能源集團,0.013000000000000001
00560,珠江船務,0.9
00563,上實城市開發s,0.74
00564,鄭州煤礦機械,2.88
00565,錦藝集團控股,0.18
00567,大昌微線集團,0.11699999999999999
00568,山東墨龍,0.71
00570,中國中藥s,3.47
00571,豐德麗控股,0.74
00572,未來世界金融,0.023
00573,稻香控股,0.98
00574,百信國際,0.066
00575,勵晶太平洋,0.07400000000000001
00576,浙江滬杭甬s,5.12
00577,南岸集團,0.08800000000000001
00578,融信資源,0.0
00579,京能清潔能源s,1.21
00580,賽晶電力電子,1.12
00581,中國東方集團s,2.18
00582,藍鼎國際,0.22899999999999998
00583,長城環亞控股,0.57
00585,意馬國際,0.0
00586,海螺創業s,36.1
00587,華瀚健康產業,0.0
00588,北京北辰實業股份s,1.86
00589,建中建設,1.85
00590,六福集團s,15.66
00591,中國高精密,0.0
00592,堡獅龍國際,0.128
00593,夢東方集團,0.0
00595,先思行集團有限公司,0.28
00596,浪潮國際s,2.52
00598,中國外運s,1.81
00599,怡邦行控股,0.0
00600,中國基建投資,0.0
00601,稀鎂科技,0.19699999999999998
00602,佳華百貨控股,0.0
00603,中油燃氣s,0.248
00604,深圳控股s,2.34
00605,中國金融投資管理,0.245
00607,豐盛控股s,0.113
00608,達利國際,0.0
00609,天德化工,0.72
00610,惠記集團,4.0
00611,中國核能科技,0.29
00612,中國鼎益豐,3.45
00613,梧桐國際,0.09699999999999999
00616,高山企業,0.485
00617,百利保控股,2.12
00618,北大資源,0.079
00619,南華金融,0.215
00620,大唐西市,5.32
00621,壇金礦業,0.031
00622,威華達控股s,0.57
00623,中視金橋,0.95
00625,睿富房地產基金,0.0
00626,大眾金融控股,2.25
00627,福晟國際,0.086
00628,國美金融科技,0.56
00629,悅達國際控股,0.34
00630,雋泰控股,0.08800000000000001
00631,三一國際s,4.11
00632,中港石油,0.0
00633,中國全通,0.146
00635,彩星集團,1.0
00636,嘉里物流聯網s,10.32
00637,利記,0.0
00638,建溢集團,0.77
00639,首鋼資源s,1.57
00640,星謙發展,0.68
00641,中國恒天立信國際,0.355
00643,恆富控股,0.0
00645,安域亞洲,0.0
00646,中國環保科技,0.02
00647,Joyce Boutique Group,0.0
